season,matchday,match,home,guest,homegoals,guestgoals
2013/14,7,5,TSG Hoffenheim,FC Schalke 04,3,3
2013/14,7,6,Hertha BSC,1. FSV Mainz 05,3,1
2013/14,7,7,Eintracht Frankfurt,Hamburger SV,2,2
2013/14,7,8,Werder Bremen,1. FC Nürnberg,3,3
2013/14,7,9,Eintracht Braunschweig,VfB Stuttgart,0,4
2013/14,6,1,Bor. Mönchengladbach,Eintracht Braunschweig,4,1
2013/14,6,2,Hannover 96,FC Augsburg,2,1
2013/14,6,3,VfL Wolfsburg,TSG Hoffenheim,2,1
2013/14,6,4,1. FC Nürnberg,Borussia Dortmund,1,1
2013/14,6,5,1. FSV Mainz 05,Bayer 04 Leverkusen,1,4
2013/14,6,6,Hamburger SV,Werder Bremen,0,2
2013/14,6,7,FC Schalke 04,Bayern München,0,4
2013/14,6,8,SC Freiburg,Hertha BSC,1,1
2013/14,6,9,VfB Stuttgart,Eintracht Frankfurt,1,1
2013/14,5,1,Hertha BSC,VfB Stuttgart,0,1
2013/14,5,2,Bayern München,Hannover 96,2,0
2013/14,5,3,Bayer 04 Leverkusen,VfL Wolfsburg,3,1
2013/14,5,4,Werder Bremen,Eintracht Frankfurt,0,3
2013/14,5,5,1. FSV Mainz 05,FC Schalke 04,0,1
2013/14,5,6,FC Augsburg,SC Freiburg,2,1
2013/14,5,7,Borussia Dortmund,Hamburger SV,6,2
2013/14,5,8,TSG Hoffenheim,Bor. Mönchengladbach,2,1
2013/14,5,9,Eintracht Braunschweig,1. FC Nürnberg,1,1
2013/14,4,1,SC Freiburg,Bayern München,1,1
